user_id,match_ids
565,156;130;199;23;216;925
727,617;383;1007;95;207;573
630,228;262;310;632;1099;7
1073,797;751;661;665;568;217
116,508;1001;483;904;264;1089
220,184;93;312;221;792;957
334,1075;46;44;183;1049;305
1008,1131;1007;917;95;100;98
282,332;228;333;519;259;524
626,297;585;973;466;350;37
940,598;1015;841;998;806;64
795,92;718;775;806;1071;669
1161,327;562;457;47;294;160
1143,1146;126;590;984;128;801
1022,952;84;409;851;197;230
295,693;981;963;190;158;458
1114,510;834;88;871;503;943
746,427;697;917;762;165;563
1133,798;989;25;1079;1094;563
1017,1008;482;569;779;543;910
510,1114;878;995;997;943;61
152,978;145;977;738;34;1068
714,485;367;1032;268;715;675
479,598;519;964;1096;484;802
1075,46;572;270;183;573;656
66,266;381;1134;661;909;217
380,53;694;1025;135;215;260
878,510;995;1076;361;997;61
412,416;858;413;283;419;915
542,53;1128;562;391;1010;536
53,380;542;562;539;198;1095
148,714;1015;450;786;740;1138
635,343;1140;978;637;812;1138
332,92;383;595;1096;1108;742
297,626;356;973;89;1111;34
339,346;139;947;942;436;521
693,295;981;400;660;91;765
598,479;986;1056;964;1096;802
325,1069;1083;807;618;276;799
952,1022;905;1037;423;875;1064
254,8;665;568;25;909;1094
212,1087;213;128;1002;1077;215
266,66;427;1134;697;226;217
617,727;163;1002;23;1077;9
1088,746;941;57;775;806;762
888,520;57;59;207;269;573
408,1013;728;841;302;1072;188
815,282;641;333;791;488;1068
930,924;569;619;927;11;420
981,295;693;179;29;458;765
923,945;711;1126;1106;216;972
471,370;322;147;1122;32;358
591,850;273;920;128;255;851
1026,467;808;822;528;1044;812
898,472;818;984;163;801;214
1128,542;391;47;1010;536;160
73,702;1127;85;348;509;34
327,1161;562;69;1067;47;301
1033,576;279;29;961;294;160
337,794;450;341;336;620;911
30,155;400;1151;135;1099;91
172,1024;855;225;942;516;865
562,1161;542;53;327;549;536
794,337;341;363;226;165;910
179,981;279;251;496;594;765
343,1017;1024;786;740;496;819
14,69;457;570;536;294;160
720,374;1009;272;112;445;955
155,212;1054;1108;653;610;305
1013,408;966;284;841;302;1072
728,408;966;284;302;1072;188
816,346;1087;855;621;858;792
798,1133;697;490;1079;701;217
346,339;816;779;620;865;338
601,886;249;484;310;738;243
929,945;711;1126;1106;216;972
1024,172;193;942;911;681;98
834,1114;585;88;646;503;1071
721,923;898;172;1131;742;100
